순번,회사명,공장대표주소,업종명,전화번호
20,(유)광명금속,부산광역시 강서구 녹산산업중로 354 (송정동),강주물 주조업,051-972-1300
21,(유)극동산업기계,부산광역시 사상구 학감대로147번길 54 (학장동),그 외 기타 일반목적용 기계 제조업 외 1종,051-325-1161
22,(유)대동,부산광역시 사하구 다산로 212 (다대동),기타 가정용 전기기기 제조업 외 6종,051-264-8833
23,(유)류진글로벌,부산광역시 기장군 장안읍 장안산단4로 78,그 외 기타 전자부품 제조업 외 4종,051-723-7778
24,(유)미화프라스틱,부산광역시 기장군 정관면 산단2로 16-6 ((주)미화 플라스틱),그 외 자동차용 신품 부품 제조업 외 3종,051-303-0554
25,(유)비씨코로텍,부산광역시 강서구 낙동남로683번길 15 (녹산동),선박 구성 부분품 제조업,051-412-8551
26,(유)신아종합,부산광역시 서구 충무대로241번길 5-16 (남부민동),기타 무선 통신장비 제조업 외 1종,051-241-6151
27,(유)태린세이프티인터내셔날,"부산광역시 사상구 모덕로96번길 55, 3층(덕포동)",구두류 제조업 외 2종,051-325-7775
28,(유)프라이그파이스트,부산광역시 강서구 녹산산단27로 19 (송정동),"탭, 밸브 및 유사장치 제조업 외 3종",051-831-6985
29,(유)피피지코리아,부산광역시 남구 신선로356번길 21 (용당동),일반용 도료 및 관련제품 제조업,051-620-8221
30,(재)부산테크노파크,부산광역시 기장군 일광면 횡계길 7 (해양생물산업육성센터),화장품 제조업,051-720-8926
31,(재)부산테크노파크,"부산광역시 강서구 녹산산단382로14번길 55 (송정동, 부산광역시 신발산업진흥센타)",기타 신발 제조업 외 1종,051-600-1700
32,(주) 대성FNT,부산광역시 강서구 식만로 33-34 (죽림동),기타 직물제품 제조업,미등록
33,(주) 라인자동화,부산광역시 강서구 공항로533번가길 54 (대저2동),산업용 로봇 제조업,051-316-3707
34,(주) 송림드리움,부산광역시 연제구 과정로287번길 52 (연산동),커튼 및 유사제품 제조업,051-862-8170
35,(주) 아이티씨,부산광역시 강서구 생곡산단1로24번길 14 (생곡동),위생용 종이제품 제조업,051-831-4620
36,(주) 예맥통상,부산광역시 사하구 비봉로 56 (신평동),"수산동물 훈제, 조리 및 유사 조제식품 제조업",051-207-9393
37,(주) 제이케이이엔지,부산광역시 강서구 녹산산단262로50번길 7 (송정동),절삭가공 및 유사처리업 외 6종,051-831-7186
38,(주) 천명하이텍,부산광역시 사상구 새벽시장로 124 (감전동) Woon Micron,주철관 제조업 외 29종,051-514-3104
39,(주) 티아,부산광역시 강서구 화전산단5로84번길 22 (화전동),유압기기 제조업,051-941-2097
40,(주) 한솔아이스컴패니,"부산광역시 부산진구 동성로49번길 13, 1층 (전포동)",얼음 제조업,051-907-9235
41,(주) 화림제약,"부산광역시 남구 용호로159번길 94, A동 7층 전체 (용호동)",한의약품 제조업,051-626-7726
42,(주)21씨정공,부산광역시 강서구 공항앞길85번길 100 (대저2동),절삭가공 및 유사처리업,051-301-7741
43,(주)ABB코리아,부산광역시 금정구 개좌로 274 (회동동),비주거용 건물 임대업,051-933-0500
44,(주)ALF,"부산광역시 사상구 새벽로 37(학장동, (주) ALF)","산업용 오븐, 노 및 노용 버너 제조업",051-311-4682
45,(주)ALF,"부산광역시 사상구 새벽로 37 (학장동, (주)ALF)","산업용 오븐, 노 및 노용 버너 제조업 외 1종",051-311-4682
46,(주)BM,"부산광역시 영도구 태종로 727,  한국해양대학교 창업보육센터508 (동삼동)",바이오매스계 기초 화학물질 제조업 외 2종,070-4066-1310
47,(주)DH전장,"부산광역시 금정구 공단동로41번길 10, 보림팩토피아 407호~411호 (금사동)",전투용 차량 제조업 외 14종,051-521-1120
48,(주)HJ중공업,"부산광역시 영도구 태종로 233, 외 2필지 (봉래동5가)",강선 건조업 외 7종,051-410-3114
49,(주)HN푸드,부산광역시 사하구 하신중앙로27번길 15 (장림동),기타 곡물 가공품 제조업,051-263-7249
50,(주)IEN한창,부산광역시 강서구 녹산산단261로14번길 14 (송정동),기타 전기 변환장치 제조업 외 3종,051-831-3470
51,(주)IEN한창,부산광역시 기장군 장안읍 반룡리 835-1 번지,변압기 제조업 외 1종,051-831-3470
52,(주)JH테크,부산광역시 사상구 낙동대로815번길 50-26 (감전동),볼트 및 너트류 제조업 외 2종,051-316-8062
53,(주)JK알에스티,"부산광역시 강서구 가달2로 24(생곡동, (주)JK알에스티)",배전반 및 전기 자동제어반 제조업 외 9종,051-832-0533
54,(주)KD밸브,부산광역시 사하구 다산로106번길 61 (다대동),"탭, 밸브 및 유사장치 제조업",051-261-0856
55,(주)KEM,부산광역시 강서구 유통단지1로65번길 9 (대저2동),"전기회로 개폐, 보호장치 제조업 외 1종",051-322-5151
56,(주)KS연합건설,부산광역시 기장군 정관읍 산단2로 16-5,구조용 금속 판제품 및 공작물 제조업 외 1종,055-381-0748
57,(주)KTE,부산광역시 강서구 녹산산단77로22번길 38 (송정동),"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업 외 3종",051-265-0255
58,(주)KTE,부산광역시 강서구 녹산산업대로 95-12 (송정동),배전반 및 전기 자동제어반 제조업 외 5종,051-265-0255
59,(주)MS가스,부산광역시 사상구 가야대로176번길 92 (학장동),수소 제조업 외 1종,051-316-2301
60,(주)MS동남산업가스,부산광역시 사상구 가야대로176번길 90 (학장동),기타 기초 유기화학 물질 제조업 외 2종,051-312-2825
61,(주)MS이엔지,부산광역시 사상구 학장로 165 (학장동),"탭, 밸브 및 유사장치 제조업 외 2종",051-312-5501
62,(주)The예주,"부산광역시 북구 구만덕로60번길 50, 1,2층(만덕동)","근무복, 작업복 및 유사의복 제조업 외 14종",051-331-9003
63,(주)Y2산업,부산광역시 사하구 장림로 100 (장림동),기타 가공 공작기계 제조업,051-264-4714
64,(주)가가대소,"부산광역시 해운대구 우동3로11번길 28, 2층 (우동)",과자류 및 코코아 제품 제조업,051-913-6884
65,(주)가나,"부산광역시 해운대구 센텀북대로 60, 6층 614호(재송동, 센텀아이에스타워)","근무복, 작업복 및 유사의복 제조업",070-4035-1350
66,(주)가나랜드건설,부산광역시 강서구 낙동북로138번길 116 (강동동),놀이터용 장비 제조업 외 1종,051-941-3055
67,(주)가나에스아이피,부산광역시 금정구 금사로 159 (회동동),간판 및 광고물 제조업 외 1종,051-531-7557
68,(주)가람디자인,"부산광역시 금정구 개좌로 90, 1~2층 (금사동)",간판 및 광고물 제조업 외 3종,051-747-9733
69,(주)가람이앤씨,"부산광역시 기장군 정관읍 용수공단2길 45, B동",전동기 및 발전기 제조업 외 3종,062-974-1305
70,(주)가야기술,부산광역시 사상구 학장로248번길 67 (학장동),금속탱크 및 저장용기 제조업 외 1종,051-314-6837
71,(주)가야기술,부산광역시 사상구 새벽시장로 106 (감전동),액체 여과기 제조업 외 12종,051-314-6837
72,(주)가야특수강,부산광역시 강서구 과학산단로 509 (지사동),"탭, 밸브 및 유사장치 제조업",051-831-9041
73,(주)가온테크,부산광역시 사상구 대동로 206(학장동),유압기기 제조업 외 27종,051-319-4530
74,(주)가온테크,부산광역시 사상구 대동로 206 (학장동),유압기기 제조업 외 13종,051-319-4530
75,(주)가우리기술,부산광역시 강서구 녹산산단77로22번길 23 (송정동),산업용 로봇 제조업,미등록
76,(주)가유,부산광역시 강서구 미음국제9로가길 15 (생곡동),자동차용 신품 동력전달장치 제조업 외 2종,055-252-1701
77,(주)가유 부산1공장,부산광역시 강서구 미음산단로 93 (구랑동),기어 및 동력전달장치 제조업,055-252-1701
78,(주)가유 부산2공장,부산광역시 강서구 미음국제3로 126 (미음동),자동차용 신품 동력전달장치 제조업 외 2종,055-252-1701
79,(주)가포,"부산광역시 동래구 미남로132번길 104 (온천동, 가포)",간판 및 광고물 제조업 외 13종,051-505-6191
80,(주)가현식품,부산광역시 강서구 대저중앙로172번길 32 (대저1동),빵류 제조업,051-991-1672
81,(주)감성플랜,"부산광역시 해운대구 센텀중앙로 78, 12층 1205 (우동, 센텀그린타워(CENTUM GREEN TOWER))",그 외 기타 달리 분류되지 않은 제품 제조업 외 3종,051-746-9055
82,(주)강남,부산광역시 사하구 구평로16번길 71 (구평동),강선 건조업 외 4종,051-260-6000
83,(주)강동미디어,"부산광역시 연제구 거제대로 176, 3층 (거제동, 한신상가)",비디오 및 기타 영상기기 제조업 외 2종,051-864-6500
84,(주)강림씨에스피,부산광역시 강서구 화전산단3로 10 (화전동),강관 제조업 외 1종,051-644-3111
85,(주)강림정공,"부산광역시 사상구 사상로440번길 28 (모라동, 강림정공)",그 외 자동차용 신품 부품 제조업 외 10종,051-301-0560
86,(주)강만,부산광역시 강서구 신호산단1로 220-3 (신호동),육상 금속 골조 구조재 제조업 외 1종,051-831-9025
87,(주)강산지앤지,부산광역시 강서구 대부길 279 (강동동),그 외 기타 분류 안된 섬유제품 제조업,051-313-3397
88,(주)강원이솔루션,부산광역시 강서구 과학산단로305번길 8(지사동),그 외 기타 특수목적용 기계 제조업 외 1종,051-974-5892
89,(주)강진금속,"부산광역시 사상구 새벽로 20 (학장동, (주)강진금속)",육상 금속 골조 구조재 제조업 외 1종,051-311-9500
90,(주)개원강철,부산광역시 강서구 가달2로16번길 18 (생곡동),그 외 기타 1차 철강 제조업,051-971-8182
91,(주)갭스앤디컴퍼니,"부산광역시 해운대구 센텀중앙로 66, 801호 (태아티타워) (우동)",경 인쇄업 외 4종,051-911-9890
92,(주)거둠,부산광역시 사상구 사상로425번길 17 (모라동),주방용 전기기기 제조업 외 2종,051-305-3555
93,(주)거림케미칼,부산광역시 부산진구 개금온정로26번길 31 (개금동),기타 신발 제조업 외 1종,051-894-8111
94,(주)거맥에스엔피,부산광역시 사하구 다산로53번길 15 (다대동),그 외 기타 금속가공업 외 1종,051-264-3315
95,(주)거보,부산광역시 강서구 녹산산업중로 130 (송정동),선박 구성 부분품 제조업 외 2종,051-831-1291
96,(주)거보녹산지점,부산광역시 강서구 녹산산단165로14번길 11-21 (송정동),선박 구성 부분품 제조업 외 1종,051-831-1291
97,(주)거성모방,부산광역시 사하구 신산로 20 (신평동),솜 및 실 염색가공업,051-207-6584
98,(주)거성엔지니어링,부산광역시 기장군 정관면 산단4로 2-1 (엠에스플라텍),구조용 금속 판제품 및 공작물 제조업,051-516-1882
99,(주)거연기업,부산광역시 강서구 낙동남로456번길 25-24 (녹산동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 4종,051-973-0409
100,(주)거청,"부산광역시 영도구 해양로 125 (청학동, (주)거청) (총 6 필지)",선박 구성 부분품 제조업,051-418-7741
101,(주)건국테크,부산광역시 기장군 정관읍 산단4로 54,운송장비용 조명장치 제조업 외 1종,051-526-5222
102,(주)건안산업,"부산광역시 북구 낙동대로 1600 (구포동, 건안산업구포공장)",플라스틱 창호 제조업 외 2종,051-303-3003
103,(주)건양아이티티,부산광역시 강서구 미음산단5로60번길 15 (미음동),그 외 기타 일반목적용 기계 제조업 외 1종,051-660-9192
104,(주)건영주물,부산광역시 사상구 감전천로 84 (학장동),주형 및 금형 제조업,051-315-5567
105,(주)건영패밀리,부산광역시 강서구 신호산단2로75번길 49 (신호동),그 외 기타 전기장비 제조업 외 4종,미등록
106,(주)건우테크,부산광역시 강서구 과학산단1로60번길 30 (지사동),전동기 및 발전기 제조업 외 3종,051-467-0041
107,(주)건인씨엔알,부산광역시 기장군 정관읍 용수공단1길 38,그 외 기타 분류 안된 비금속 광물제품 제조업,미등록
108,(주)건일,부산광역시 기장군 일광면 화용길 74-13,플라스틱 창호 제조업,051-704-0211
109,(주)건창축산유통,부산광역시 강서구 상덕로97번길 85 (강동동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1종,051-941-7601
110,(주)겐츠 베이커리,"부산광역시 남구 용호로159번길 94, B1층 103~107호 (용호동)",빵류 제조업,051-612-5011
111,(주)경강,"부산광역시 사상구 감전천로 49 (감전동, (주)경강)",그 외 기타 분류 안된 화학제품 제조업 외 3종,051-322-2703
112,(주)경기,부산광역시 강서구 녹산산업북로313번길 49 (송정동),운송장비 조립용 플라스틱제품 제조업 외 1종,051-832-2055
113,(주)경기색소,부산광역시 사하구 을숙도대로 526 (신평동),"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",051-291-0265
114,(주)경남엔지니어링,부산광역시 강서구 가리새2로13번길 11 (생곡동),가정용 및 산업용 공기 조화장치 제조업 외 2종,051-941-0001
115,(주)경동금속주방,"부산광역시 사상구 학감대로 184-23(학장동, 경동금속)",그 외 기타 일반목적용 기계 제조업 외 11종,051-312-0203
116,(주)경동금속주방,부산광역시 사상구 학감대로 184-23 (학장동),그 외 기타 일반목적용 기계 제조업 외 7종,051-312-0203
117,(주)경동열처리,부산광역시 강서구 녹산산업북로 259 (송정동),금속 열처리업,051-304-9318
118,(주)경동유리제경사,"부산광역시 금정구 반송로489번길 36(금사동, 선진제경)",디스플레이 장치용 유리 제조업,051-302-8882
119,(주)경동특수주강,"부산광역시 사상구 학장로95번길 20(학장동, 경동특수주강)",강주물 주조업,051-311-1670
120,(주)경동특수주강,부산광역시 강서구 화전산단5로38번길 20 (화전동),강주물 주조업,051-311-1670
121,(주)경동특수주강,부산광역시 사상구 학장로95번길 19 (학장동),강주물 주조업,051-311-1670
122,(주)경동특수주강,"부산광역시 사상구 학장로95번길 20 (학장동, 경동특수주강)",강주물 주조업,051-311-1670
123,(주)경동화학,부산광역시 강서구 녹산산단262로13번길 19 (송정동),기타 기초 무기 화학물질 제조업,051-313-8891
124,(주)경동화학,"부산광역시 사상구 새벽로17번길 11 (학장동, 경동화학)",기타 기초 유기화학 물질 제조업,051-313-8891
125,(주)경맥,부산광역시 사하구 다대로354번길 71 (장림동),기타 수산동물 가공 및 저장 처리업,051-292-8234
126,(주)경민호이스트 녹산지점,부산광역시 강서구 낙동남로549번길 16 (녹산동),기타 물품 취급장비 제조업 외 1종,055-343-6715
127,(주)경방어패럴,부산광역시 사하구 장평로 224 (신평동),셔츠 및 블라우스 제조업 외 6종,02-2670-7640
128,(주)경부산업,부산광역시 사하구 다산로 195 (다대동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-263-8186
129,(주)경부산업,부산광역시 사하구 다산로 195 (다대동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-263-8186
130,(주)경북전기,부산광역시 사하구 다산로105번길 20 (다대동),변압기 제조업,051-203-4133
131,(주)경성아이젠,부산광역시 강서구 화전산단2로 77 (화전동),절삭가공 및 유사처리업,051-972-3677
132,(주)경성이피알,부산광역시 강서구 녹산산단382로14번길 41 (송정동),선박 구성 부분품 제조업 외 2종,051-831-4960
133,(주)경성정기,부산광역시 강서구 녹산산단289로 66 (송정동),전동기 및 발전기 제조업 외 2종,051-831-1156
134,(주)경성정기,부산광역시 강서구 녹산산단261로74번길 38(송정동),철도차량 부품 및 관련 장치물 제조업,051-831-1156
135,(주)경성정기,"부산광역시 강서구 녹산산단261로60번길 33, (송정동,1603-7) (송정동)",철도차량 부품 및 관련 장치물 제조업,051-831-1156
136,(주)경성피엘에스,부산광역시 강서구 미음산단로92번길 12(구랑동),산업용 난방보일러 및 방열기 제조업 외 1종,051-974-1101
137,(주)경양엔지니어링,부산광역시 남구 신선로 217-10 (감만동),액체 펌프 제조업 외 1종,051-418-6628
138,(주)경원,"부산광역시 사상구 사상로393번길 74 (덕포동, (주)경원)",수동식 식품 가공기기 및 금속 주방용기 제조업 외 1종,051-302-1777
139,(주)경원R&D,부산광역시 사상구 낙동대로1292번길 9 (삼락동),그 외 자동차용 신품 부품 제조업 외 40종,051-304-4211
140,(주)경원화학,부산광역시 사하구 을숙도대로569번길 36 (신평동),주형 및 금형 제조업 외 1종,미등록
141,(주)경인,부산광역시 영도구 해양로 24-11 (청학동),선박 구성 부분품 제조업,051-418-5642
142,(주)경일금속,부산광역시 강서구 녹산산단261로31번길 9 (송정동),도금업,051-831-1667
143,(주)경일금속 2공장,부산광역시 강서구 녹산산단261로31번길 8 (송정동),도금업,051-831-1667
144,(주)경전산업,부산광역시 서구 보수대로184번길 32 (동대신동2가),전구 및 램프 제조업,051-242-2009
145,(주)경진스크류,부산광역시 영도구 대평로34번길 9-15 (대평동2가),선박 구성 부분품 제조업,051-416-3082
146,(주)경진하네스산업,부산광역시 사하구 장평로41번길 36 (장림동),자동차용 신품 전기장치 제조업 외 1종,051-264-1184
147,(주)경창엔지니어링,부산광역시 사상구 사상로477번길 56 (모라동),"산업용 오븐, 노 및 노용 버너 제조업 외 7종",051-304-5751
148,(주)경해냉장지점,부산광역시 서구 충무대로 166-47 (남부민동),얼음 제조업,051-254-8693
149,(주)고려금속,부산광역시 강서구 화전산단2로 114 (화전동),그 외 기타 특수목적용 기계 제조업 외 1종,051-304-1781
150,(주)고려금속,"부산광역시 사상구 사상로375번길 17 (덕포동, (주)고려금속)",강주물 주조업 외 1종,051-304-1781
151,(주)고려마이카,부산광역시 기장군 정관읍 정관상곡1길 106 (고려마이카),도장 및 기타 피막처리업 외 7종,051-508-1369
152,(주)고려식품,부산광역시 금정구 공단동로55번길 9 (금사동),가금류 가공 및 저장 처리업 외 2종,051-521-3001
153,(주)고려윈시스,부산광역시 기장군 정관면 정관상곡1길 27-80,일반철물 제조업,051-727-9305
154,(주)고려정밀공업,"부산광역시 사상구 낙동대로1338번길 37(삼락동, 고려정밀)",금속 스프링 제조업,051-303-9000
155,(주)고려특수파이프,부산광역시 강서구 화전산단6로90번길 23 (화전동),그 외 기타 1차 철강 제조업,051-208-4431
156,(주)고려티티알,"부산광역시 강서구 녹산산단382로14번길 55, 213호(송정동, 부산광역시 신발산업진흥센타)",기타 신발 제조업 외 2종,051-321-2012
157,(주)고려펌프마린,부산광역시 사상구 사상로402번길 22 (덕포동),"탭, 밸브 및 유사장치 제조업 외 1종",051-293-6610
158,(주)고려폴리머,부산광역시 연제구 거제대로 120(거제동),간판 및 광고물 제조업 외 12종,051-644-8877
159,(주)고려폴리머   ,부산광역시 기장군 장안읍 반룡리 908번지,전시 및 광고용 조명장치 제조업,051-644-8877
160,(주)고려화학,부산광역시 기장군 정관읍 용수공단2길 85 (고려화학),기타 기초 무기 화학물질 제조업 외 1종,051-728-6237
161,(주)고릴라브루잉컴퍼니 정관지점,부산광역시 기장군 정관읍 산단7로 99-56,맥아 및 맥주 제조업 외 1종,051-714-6258
162,(주)고성산업,부산광역시 강서구 대저중앙로233번길 46-15 (대저1동),육류 기타 가공 및 저장처리업 (가금류 제외),051-832-8322
163,(주)골드밀러,부산광역시 강서구 가락대로1397번길 337-9 (봉림동),그 외 기타 플라스틱 제품 제조업 외 2종,051-832-6786
164,(주)골드펌프엔지니어링,"부산광역시 사상구 낙동대로970번길 7 (감전동, 수중모터펌프백화점)",액체 펌프 제조업,051-311-2166
165,(주)골든블루,부산광역시 기장군 정관읍 농공길 89-2,탁주 및 약주 제조업,051-727-2883
166,(주)관광,부산광역시 사상구 농산물시장로26번길 21 (엄궁동),"탭, 밸브 및 유사장치 제조업",051-311-4124
167,(주)관문산업,부산광역시 기장군 장안읍 장안산단2로 35,주형 및 금형 제조업 외 4종,051-529-8052
168,(주)관우,"부산광역시 강서구 화전산단6로32번길 17, D동(화전동)",선박 구성 부분품 제조업,051-311-1295
169,(주)광덕창호산업,부산광역시 남구 수영로325번길 159-38 (대연동),플라스틱 창호 제조업 외 1종,051-628-0087
170,(주)광동산업기계,부산광역시 강서구 녹산산단77로 20 (송정동),"탭, 밸브 및 유사장치 제조업 외 1종",051-831-1833
171,(주)광동안전,부산광역시 사하구 다산로 34 (다대동),금속 표시판 제조업,051-203-2666
172,(주)광림마린테크,부산광역시 강서구 미음산단4로 45 (미음동),선박 구성 부분품 제조업 외 2종,051-313-0055
173,(주)광림마린테크,부산광역시 강서구 미음산단4로 58 (미음동),선박 구성 부분품 제조업 외 3종,미등록
174,(주)광명광고공사,부산광역시 사하구 낙동대로 246-1 (괴정동),간판 및 광고물 제조업,051-202-8897
175,(주)광명부직포,"부산광역시 사상구 가야대로176번길 39 (학장동, 광명부직포공업사)",부직포 및 펠트 제조업,051-312-3422
176,(주)광명생약,"부산광역시 남구 신선로 340, C동(용당동, (주)현대기아남구정비서비스)",한의약품 제조업,051-611-2257
177,(주)광명일렉,부산광역시 강서구 대저중앙로 63 (대저1동),배전반 및 전기 자동제어반 제조업 외 3종,051-302-0223
178,(주)광문오션케어,"부산광역시 영도구 남항서로 85, 227호(남항동2가, 국제선용품유통센터)",선박 구성 부분품 제조업 외 1종,051-710-7390
179,(주)광산,부산광역시 강서구 과학산단로 521 (지사동),선박 구성 부분품 제조업,051-974-6301
180,(주)광성계측기,부산광역시 기장군 장안읍 장안산단8로 126,그 외 자동차용 신품 부품 제조업 외 3종,051-723-3000
181,(주)광시스템,부산광역시 수영구 광남로 50 (남천동),방송장비 제조업,051-627-9700
182,(주)광신테크노,부산광역시 강서구 신호산단3로 99 (신호동),일반철물 제조업,051-971-9700
183,(주)광오라이팅,"부산광역시 부산진구 동성로15번길 6, 1층(전포동)",일반용 전기 조명장치 제조업 외 1종,051-818-1230
184,(주)광원메디텍,부산광역시 사상구 학장로169번길 92 (학장동),그 외 기타 의료용 기기 제조업,051-304-1520
185,(주)광일금속,부산광역시 사상구 가야대로 104 (학장동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-324-0006
186,(주)광일금속,부산광역시 강서구 녹산산단381로12번길 42 (송정동),그 외 기타 1차 철강 제조업,051-831-8133
187,(주)광일금속,부산광역시 사상구 가야대로104번길 3 (학장동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-324-0006
188,(주)광일정보시스템,부산광역시 사상구 사상로417번길 33 (모라동),방송장비 제조업 외 12종,051-321-0366
189,(주)광진 ,부산광역시 사상구 장인로 7-15(감전동),"탭, 밸브 및 유사장치 제조업",051-316-1232
190,(주)광진석재,부산광역시 기장군 정관읍 양수길 32,건설용 석제품 제조업,051-527-0171
191,(주)광진씨앤디,부산광역시 강서구 울만로25번길 177-2 (대저2동),방송장비 제조업,미등록
192,(주)구룡산업,부산광역시 사하구 다대로170번길 60 (신평동),액체 펌프 제조업 외 1종,051-291-3774
193,(주)구마자원 생곡지점,부산광역시 강서구 생곡산단2로11번길 29 (생곡동),"기타 비철금속 제련, 정련 및 합금 제조업",051-941-3364
194,(주)구일지엔티,부산광역시 강서구 가리새2로 10 (미음동),주형 및 금형 제조업,051-303-0160
195,(주)국도섬유,부산광역시 해운대구 선수촌로 137 (반여동),남자용 겉옷 제조업 외 27종,051-524-6001
196,(주)국일안전,"부산광역시 부산진구 당감로25번길 48 (당감동, 국일안전사)","천막, 텐트 및 유사 제품 제조업 외 2종",051-896-6628
197,(주)국제금속,부산광역시 강서구 미음산단3로 67 (미음동),육상 금속 골조 구조재 제조업 외 1종,051-831-1541
198,(주)국제기산,부산광역시 사하구 다산로176번길 58 (장림동),그 외 자동차용 신품 부품 제조업 외 9종,051-866-3700
199,(주)국제기산,부산광역시 사하구 다산로106번길 53 (다대동),액체 여과기 제조업 외 9종,051-266-3700
200,(주)국제비엠에스,부산광역시 연제구 토곡남로 9 (연산동),배전반 및 전기 자동제어반 제조업,051-852-4517
201,(주)국제산업전기,"부산광역시 사상구 광장로56번길 48-10 (괘법동, KN카블러)",운송장비 조립용 플라스틱제품 제조업 외 1종,051-328-8155
202,(주)국제산업전자,부산광역시 사상구 감전천로 240 (감전동),배전반 및 전기 자동제어반 제조업 외 1종,051-327-8530
203,(주)국제식품,"부산광역시 사상구 낙동대로 1498 (삼락동, 국제식품)",육류 기타 가공 및 저장처리업 (가금류 제외) 외 2종,051-304-4477
204,(주)국제에프씨,"부산광역시 사상구 학장로248번길 86, 1층 (학장동)",천연 및 혼합조제 조미료 제조업,ARS-1899-4847
205,(주)국제종합특수강,"부산광역시 사상구 새벽로 87 (학장동, (주)국제종합특수강)",그 외 기타 1차 철강 제조업,051-325-7799
206,(주)국제창호,부산광역시 사상구 대동로 36 (엄궁동),플라스틱 창호 제조업,051-312-2323
207,(주)국제파이프,부산광역시 사상구 낙동대로 1038 (감전동),강관 제조업 외 1종,051-311-8686
208,(주)국제패킹,부산광역시 강서구 공항로743번길 48-39 (대저2동),고무패킹류 제조업 외 1종,미등록
209,(주)국제호닝,부산광역시 사상구 대동로223번길 49 (학장동),그 외 기타 1차 철강 제조업,051-324-8473
210,(주)국제화학,부산광역시 사하구 을숙도대로755번길 98 (구평동),그 외 기타 플라스틱 제품 제조업 외 1종,051-264-1592
211,(주)국제환경기술,"부산광역시 강서구 낙동남로622번길 78-2, (주)국제환경기술 (녹산동)",그 외 기타 특수목적용 기계 제조업,051-305-8886
212,(주)그래코퍼레이션 몬스터프로 지점,부산광역시 기장군 장안읍 반룡산단2로 16,그 외 자동차용 신품 부품 제조업,070-4027-6819
213,(주)그레이트컴퍼니,부산광역시 기장군 정관면 산단2로 16-25,육상 금속 골조 구조재 제조업 외 1종,051-728-8872
214,(주)그린공간,부산광역시 사상구 대동로 303 (감전동) 부산디지털밸리아파트형공장,그 외 기타 플라스틱 제품 제조업,070-4322-5470
